codigo_carga;tipo_asignatura;codigo_asignatura;Asignatura;Seccion;Horario;Dias;inscritos_materia;parcial;fechaparcial;Fecha_Registro;asistencia;TipoExamen;Coordinacion_Catedra;Coordinador_Catedratico;Escuela;Facultad,
REHI-H_01_02-2020;P;REHI-H;REHABILITACION INTEGRAL;1;18:40-20:10;Ma-Jue;104;1;25/8/2020;13/11/2020 20:04;103;Ordinario;ESPECIALIDAD LABORAL Y EDUCATIVA;Elisa María Vega Rodríguez;Escuela de Psicología;Facultad de Ciencias Sociales,
COA2-I_02_02-2020;P;COA2-I;COMPRENSIÓN  AUDITIVA II;2;08:00-09:30;Ma-Jue;30;1;25/8/2020;4/9/2020 10:10;28;Ordinario;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
ING1-H_01_02-2020;P;ING1-H;INGLES I;1;06:30-08:00;Lu-Vie;92;1;4/9/2020;26/9/2020 02:57;85;Diferido;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
SEIN-H_01_02-2020;P;SEIN-H;SEMINARIO DE INVESTIGACION ;1;17:00-20:00;Vie;41;1;28/8/2020;4/9/2020 20:26;42;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
EXOE-H_14_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;14;16:00-19:00;Sab;55;1;22/8/2020;5/9/2020 15:42;55;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
EXOE-H_14_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;14;16:00-19:00;Sab;55;1;5/9/2020;5/9/2020 15:43;1;Diferido;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
EXOE-H_15_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;15;07:00-10:00;Dom;33;1;23/8/2020;5/9/2020 15:43;32;Ordinario;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
FONO-I_03_02-2020;P;FONO-I;FONOLOGIA;3;16:00-19:00;Sab;25;1;5/9/2020;5/9/2020 21:19;2;Diferido;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
INI8-I_01_02-2020;P;INI8-I;INGLES PARA NEGOCIOS VIII;1;07:00-10:00;Dom;51;1;23/8/2020;6/9/2020 06:35;51;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
EPRO-AC_05_02-2020;P;EPRO-AC;ETICA;5;08:00-09:30;Mie-Sab;37;1;22/8/2020;6/9/2020 07:10;37;Ordinario;FILOSOFÍA;Ruben Antonio Funez;Escuela de Antropología;Facultad de Ciencias Sociales,
NEUP-H_03_02-2020;P;NEUP-H;NEURO PSICOLOGIA;3;13:00-16:00;Sab;30;1;22/8/2020;12/9/2020 16:05;29;Ordinario;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
LIN-H_03_02-2020;P;LIN-H;LINGÜISTICA;3;07:00-10:00;Dom;34;1;6/9/2020;6/9/2020 20:05;2;Diferido;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
EXOE-H_15_02-2020;P;EXOE-H;EXPRESION ORAL Y ESCRITA DEL ESPAÑOL ;15;07:00-10:00;Dom;33;1;7/9/2020;7/9/2020 17:00;2;Diferido;CASTELLANO;Morena Guadalupe Magaña De Hernández;Escuela de Idiomas;Facultad de Ciencias Sociales,
ING2-H_12_02-2020;P;ING2-H;INGLES II ;12;16:00-19:00;Sab;97;1;22/8/2020;7/9/2020 20:18;95;Ordinario;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
ING2-H_12_02-2020;P;ING2-H;INGLES II ;12;16:00-19:00;Sab;97;1;5/9/2020;7/9/2020 20:18;2;Diferido;INGLÉS;Armando García Díaz;Escuela de Idiomas;Facultad de Ciencias Sociales,
REA1-A_04_02-2020;P;REA1-A;REALIDAD NACIONAL;4;09:30-11:00;Lu-Vie;25;1;7/9/2020;7/9/2020 21:14;1;Diferido;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
REA1-A_06_02-2020;P;REA1-A;REALIDAD NACIONAL;6;14:30-16:00;Lu-Vie;25;1;7/9/2020;7/9/2020 21:14;1;Diferido;REALIDAD NACIONAL;Adilia Del Rosario Valenzuela De Rivas;Escuela de Antropología;Facultad de Ciencias Sociales,
FUES-A_01_02-2020;P;FUES-A;FUNCIONALISMO Y ESTRUCTURALISMO FUNCIONAL;1;08:00-09:30;Sab;15;1;22/8/2020;7/9/2020 21:16;13;Ordinario;ANTROPOLOGÍA;Carlos Felipe Osegueda Osegueda;Escuela de Antropología;Facultad de Ciencias Sociales,
FUES-A_01_02-2020;P;FUES-A;FUNCIONALISMO Y ESTRUCTURALISMO FUNCIONAL;1;08:00-09:30;Sab;15;1;5/9/2020;7/9/2020 21:16;1;Diferido;ANTROPOLOGÍA;Carlos Felipe Osegueda Osegueda;Escuela de Antropología;Facultad de Ciencias Sociales,
REP2-H_01_02-2020;P;REP2-H;RELACIONES PUBLICAS II;1;06:30-08:00;Ma-Jue;83;1;8/9/2020;8/9/2020 08:07;2;Diferido;COMUNICACIÓN ESPECIALIZADA;Aldo Valentín Maldonado Ortiz;Escuela de Comunicaciones;Facultad de Ciencias Sociales,
NEUP-H_02_02-2020;P;NEUP-H;NEURO PSICOLOGIA;2;17:00-18:30;Lu-Mie;81;1;7/9/2020;8/9/2020 09:05;3;Diferido;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
SEIN-H_01_02-2020;P;SEIN-H;SEMINARIO DE INVESTIGACION ;1;17:00-20:00;Vie;41;1;8/9/2020;8/9/2020 09:40;1;Diferido;COMPETENCIAS BÁSICAS E INVESTIGACIÓN;Claudia Mercedes Membreño Chacón;Escuela de Psicología;Facultad de Ciencias Sociales,
DEIN-H_02_02-2020;P;DEIN-H;DESARROLLO INDIVIDUAL;2;08:00-09:30;Ma-Jue;30;1;8/9/2020;8/9/2020 10:37;1;Diferido;COMPETENCIAS GENERALES;Oscar Gilberto Hernández;Escuela de Psicología;Facultad de Ciencias Sociales,
FONO-I_01_02-2020;P;FONO-I;FONOLOGIA;1;08:00-09:30;Lu-Vie;45;1;8/9/2020;8/9/2020 12:02;5;Diferido;LENGUA INGLESA;Julio Aníbal Blanco Escobar;Escuela de Idiomas;Facultad de Ciencias Sociales,
ETPS2-T_01_02-2020;P;ETPS2-T;TÉCNICAS DE PRODUCCIÓN INDUSTRIAL DE SOFTWARE II;1;16:00-19:00;Sab;81;1;22/8/2020;23/8/2020 08:42;80;Ordinario;DESARROLLO DE SISTEMAS;Jose Oswaldo Barrera Montes;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
EI-I_03_02-2020;P;EI-I;ESTADISTICA Y PROBABILIDADES;3;16:00-19:00;Sab;51;1;22/8/2020;22/8/2020 23:07;53;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MYTI-I_05_02-2020;P;MYTI-I;METODOLOGIA Y TECNICAS DE LA INVESTIGACION;5;13:00-16:00;Sab;33;1;22/8/2020;28/8/2020 23:59;34;Ordinario;PROCESOS INDUSTRIALES;Augusto Antonio Villalta;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
MYTI-I_05_02-2020;P;MYTI-I;METODOLOGIA Y TECNICAS DE LA INVESTIGACION;5;13:00-16:00;Sab;33;1;22/8/2020;22/8/2020 23:59;34;Diferido;PROCESOS INDUSTRIALES;Augusto Antonio Villalta;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
ESTP-I_01_02-2020;P;ESTP-I;ESTADISTICA I;1;08:00-09:30;Mie-Sab;88;1;22/8/2020;23/8/2020 00:14;86;Ordinario;MATEMATICAS Y FISICA;Genaro Antonio Hernandez Lemus;Escuela de Ciencias Aplicadas;Facultad de Informática y Ciencias Aplicadas,
TPR2-N_01_02-2020;P;TPR2-N;TECNICAS DE PROGRAMACION II                                                ;1;16:00-19:00;Sab;31;1;22/8/2020;23/8/2020 00:49;30;Ordinario;PROGRAMACION;Lilian Noemi Romero De Leiva;Escuela de Informática;Facultad de Informática y Ciencias Aplicadas,
